nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18,Unnamed: 17
AB,Intensity Max,228.0,228.0,228.0,0.0,228.0,228.0,228.0,228.0,1,,Surface,2.0,,,Image 1,,1.0,,
AB,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,2.0,,,Image 1,,2.0,,
AB,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,2.0,,,Image 1,,3.0,,
AB,Intensity Max,330.0,330.0,330.0,0.0,330.0,330.0,330.0,330.0,1,,Surface,2.0,,,Image 1,,4.0,,
AB,Intensity Max,330.0,330.0,330.0,0.0,330.0,330.0,330.0,330.0,1,,Surface,2.0,,,Image 1,,5.0,,
AB,Intensity Max,434.0,434.0,434.0,0.0,434.0,434.0,434.0,434.0,1,,Surface,2.0,,,Image 1,,6.0,,
AB,Intensity Max,469.0,469.0,469.0,0.0,469.0,469.0,469.0,469.0,1,,Surface,2.0,,,Image 1,,7.0,,
AB,Intensity Max,438.0,438.0,438.0,0.0,438.0,438.0,438.0,438.0,1,,Surface,2.0,,,Image 1,,8.0,,
AB,Intensity Max,323.0,323.0,323.0,0.0,323.0,323.0,323.0,323.0,1,,Surface,2.0,,,Image 1,,9.0,,
AB,Intensity Max,382.0,382.0,382.0,0.0,382.0,382.0,382.0,382.0,1,,Surface,2.0,,,Image 1,,10.0,,
AB,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,2.0,,,Image 1,,11.0,,
AB,Intensity Max,239.0,239.0,239.0,0.0,239.0,239.0,239.0,239.0,1,,Surface,2.0,,,Image 1,,15.0,,
AB,Intensity Max,282.0,282.0,282.0,0.0,282.0,282.0,282.0,282.0,1,,Surface,2.0,,,Image 1,,16.0,,
AB,Intensity Max,279.0,279.0,279.0,0.0,279.0,279.0,279.0,279.0,1,,Surface,2.0,,,Image 1,,17.0,,
AB,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,2.0,,,Image 1,,18.0,,
AB,Intensity Max,337.0,337.0,337.0,0.0,337.0,337.0,337.0,337.0,1,,Surface,2.0,,,Image 1,,19.0,,
AB,Intensity Max,391.0,391.0,391.0,0.0,391.0,391.0,391.0,391.0,1,,Surface,2.0,,,Image 1,,20.0,,
AB,Intensity Max,346.0,346.0,346.0,0.0,346.0,346.0,346.0,346.0,1,,Surface,2.0,,,Image 1,,21.0,,
AB,Intensity Max,279.0,279.0,279.0,0.0,279.0,279.0,279.0,279.0,1,,Surface,2.0,,,Image 1,,22.0,,
AB,Intensity Max,289.0,289.0,289.0,0.0,289.0,289.0,289.0,289.0,1,,Surface,2.0,,,Image 1,,23.0,,
AB,Intensity Max,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,1,,Surface,2.0,,,Image 1,,24.0,,
AB,Intensity Max,236.0,236.0,236.0,0.0,236.0,236.0,236.0,236.0,1,,Surface,2.0,,,Image 1,,25.0,,
P1,Intensity Max,231.0,231.0,231.0,0.0,231.0,231.0,231.0,231.0,1,,Surface,2.0,,,Image 1,,1.0,,
P1,Intensity Max,263.0,263.0,263.0,0.0,263.0,263.0,263.0,263.0,1,,Surface,2.0,,,Image 1,,2.0,,
P1,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,2.0,,,Image 1,,3.0,,
P1,Intensity Max,296.0,296.0,296.0,0.0,296.0,296.0,296.0,296.0,1,,Surface,2.0,,,Image 1,,4.0,,
P1,Intensity Max,325.0,325.0,325.0,0.0,325.0,325.0,325.0,325.0,1,,Surface,2.0,,,Image 1,,5.0,,
P1,Intensity Max,395.0,395.0,395.0,0.0,395.0,395.0,395.0,395.0,1,,Surface,2.0,,,Image 1,,6.0,,
P1,Intensity Max,435.0,435.0,435.0,0.0,435.0,435.0,435.0,435.0,1,,Surface,2.0,,,Image 1,,7.0,,
P1,Intensity Max,400.0,400.0,400.0,0.0,400.0,400.0,400.0,400.0,1,,Surface,2.0,,,Image 1,,8.0,,
P1,Intensity Max,360.0,360.0,360.0,0.0,360.0,360.0,360.0,360.0,1,,Surface,2.0,,,Image 1,,9.0,,
P1,Intensity Max,327.0,327.0,327.0,0.0,327.0,327.0,327.0,327.0,1,,Surface,2.0,,,Image 1,,10.0,,
P1,Intensity Max,294.0,294.0,294.0,0.0,294.0,294.0,294.0,294.0,1,,Surface,2.0,,,Image 1,,11.0,,
P1,Intensity Max,307.0,307.0,307.0,0.0,307.0,307.0,307.0,307.0,1,,Surface,2.0,,,Image 1,,12.0,,
P1,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,2.0,,,Image 1,,13.0,,
ABa,Intensity Max,239.0,239.0,239.0,0.0,239.0,239.0,239.0,239.0,1,,Surface,2.0,,,Image 1,,15.0,,
ABa,Intensity Max,282.0,282.0,282.0,0.0,282.0,282.0,282.0,282.0,1,,Surface,2.0,,,Image 1,,16.0,,
ABa,Intensity Max,279.0,279.0,279.0,0.0,279.0,279.0,279.0,279.0,1,,Surface,2.0,,,Image 1,,17.0,,
ABa,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,2.0,,,Image 1,,18.0,,
ABa,Intensity Max,337.0,337.0,337.0,0.0,337.0,337.0,337.0,337.0,1,,Surface,2.0,,,Image 1,,19.0,,
ABa,Intensity Max,391.0,391.0,391.0,0.0,391.0,391.0,391.0,391.0,1,,Surface,2.0,,,Image 1,,20.0,,
ABa,Intensity Max,346.0,346.0,346.0,0.0,346.0,346.0,346.0,346.0,1,,Surface,2.0,,,Image 1,,21.0,,
ABa,Intensity Max,279.0,279.0,279.0,0.0,279.0,279.0,279.0,279.0,1,,Surface,2.0,,,Image 1,,22.0,,
ABp,Intensity Max,250.0,250.0,250.0,0.0,250.0,250.0,250.0,250.0,1,,Surface,2.0,,,Image 1,,17.0,,
ABp,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,2.0,,,Image 1,,18.0,,
ABp,Intensity Max,308.0,308.0,308.0,0.0,308.0,308.0,308.0,308.0,1,,Surface,2.0,,,Image 1,,19.0,,
ABp,Intensity Max,314.0,314.0,314.0,0.0,314.0,314.0,314.0,314.0,1,,Surface,2.0,,,Image 1,,20.0,,
ABp,Intensity Max,409.0,409.0,409.0,0.0,409.0,409.0,409.0,409.0,1,,Surface,2.0,,,Image 1,,21.0,,
ABp,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,311.0,1,,Surface,2.0,,,Image 1,,22.0,,
ABp,Intensity Max,316.0,316.0,316.0,0.0,316.0,316.0,316.0,316.0,1,,Surface,2.0,,,Image 1,,23.0,,
ABp,Intensity Max,337.0,337.0,337.0,0.0,337.0,337.0,337.0,337.0,1,,Surface,2.0,,,Image 1,,24.0,,
ABp,Intensity Max,226.0,226.0,226.0,0.0,226.0,226.0,226.0,226.0,1,,Surface,2.0,,,Image 1,,25.0,,
EMS,Intensity Max,301.0,301.0,301.0,0.0,301.0,301.0,301.0,301.0,1,,Surface,2.0,,,Image 1,,18.0,,
EMS,Intensity Max,282.0,282.0,282.0,0.0,282.0,282.0,282.0,282.0,1,,Surface,2.0,,,Image 1,,19.0,,
EMS,Intensity Max,282.0,282.0,282.0,0.0,282.0,282.0,282.0,564.0,2,,Surface,2.0,,,Image 1,,20.0,,
EMS,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,622.0,2,,Surface,2.0,,,Image 1,,21.0,,
EMS,Intensity Max,491.0,491.0,491.0,0.0,491.0,491.0,491.0,982.0,2,,Surface,2.0,,,Image 1,,22.0,,
EMS,Intensity Max,844.0,844.0,844.0,0.0,844.0,844.0,844.0,1688.0,2,,Surface,2.0,,,Image 1,,23.0,,
EMS,Intensity Max,649.0,649.0,649.0,0.0,649.0,649.0,649.0,1298.0,2,,Surface,2.0,,,Image 1,,24.0,,
EMS,Intensity Max,698.0,698.0,698.0,0.0,698.0,698.0,698.0,1396.0,2,,Surface,2.0,,,Image 1,,25.0,,
EMS,Intensity Max,613.0,613.0,613.0,0.0,613.0,613.0,613.0,1226.0,2,,Surface,2.0,,,Image 1,,26.0,,
EMS,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,2.0,,,Image 1,,27.0,,
EMS,Intensity Max,310.0,310.0,310.0,0.0,310.0,310.0,310.0,310.0,1,,Surface,2.0,,,Image 1,,28.0,,
EMS,Intensity Max,346.0,346.0,346.0,0.0,346.0,346.0,346.0,346.0,1,,Surface,2.0,,,Image 1,,29.0,,
P2,Intensity Max,218.0,218.0,218.0,0.0,218.0,218.0,218.0,218.0,1,,Surface,2.0,,,Image 1,,17.0,,
P2,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,556.0,2,,Surface,2.0,,,Image 1,,18.0,,
P2,Intensity Max,275.0,275.0,275.0,0.0,275.0,275.0,275.0,550.0,2,,Surface,2.0,,,Image 1,,19.0,,
P2,Intensity Max,269.0,269.0,269.0,0.0,269.0,269.0,269.0,538.0,2,,Surface,2.0,,,Image 1,,20.0,,
P2,Intensity Max,313.0,313.0,313.0,0.0,313.0,313.0,313.0,626.0,2,,Surface,2.0,,,Image 1,,21.0,,
P2,Intensity Max,349.0,349.0,349.0,0.0,349.0,349.0,349.0,698.0,2,,Surface,2.0,,,Image 1,,22.0,,
P2,Intensity Max,555.0,555.0,555.0,0.0,555.0,555.0,555.0,1110.0,2,,Surface,2.0,,,Image 1,,23.0,,
P2,Intensity Max,428.0,428.0,428.0,0.0,428.0,428.0,428.0,428.0,1,,Surface,2.0,,,Image 1,,24.0,,
P2,Intensity Max,530.0,530.0,530.0,0.0,530.0,530.0,530.0,530.0,1,,Surface,2.0,,,Image 1,,25.0,,
P2,Intensity Max,339.0,339.0,339.0,0.0,339.0,339.0,339.0,339.0,1,,Surface,2.0,,,Image 1,,26.0,,
P2,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,278.0,1,,Surface,2.0,,,Image 1,,27.0,,
P2,Intensity Max,288.0,288.0,288.0,0.0,288.0,288.0,288.0,288.0,1,,Surface,2.0,,,Image 1,,28.0,,
P2,Intensity Max,309.0,309.0,309.0,0.0,309.0,309.0,309.0,309.0,1,,Surface,2.0,,,Image 1,,29.0,,
P2,Intensity Max,313.0,313.0,313.0,0.0,313.0,313.0,313.0,313.0,1,,Surface,2.0,,,Image 1,,30.0,,
P2,Intensity Max,317.0,317.0,317.0,0.0,317.0,317.0,317.0,317.0,1,,Surface,2.0,,,Image 1,,31.0,,
P2,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,2.0,,,Image 1,,32.0,,
P2,Intensity Max,287.0,287.0,287.0,0.0,287.0,287.0,287.0,287.0,1,,Surface,2.0,,,Image 1,,33.0,,
P2,Intensity Max,276.0,276.0,276.0,0.0,276.0,276.0,276.0,276.0,1,,Surface,2.0,,,Image 1,,34.0,,
ABal,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,2.0,,,Image 1,,29.0,,
ABal,Intensity Max,411.0,411.0,411.0,0.0,411.0,411.0,411.0,411.0,1,,Surface,2.0,,,Image 1,,30.0,,
ABal,Intensity Max,374.0,374.0,374.0,0.0,374.0,374.0,374.0,374.0,1,,Surface,2.0,,,Image 1,,31.0,,
ABal,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,311.0,1,,Surface,2.0,,,Image 1,,32.0,,
ABal,Intensity Max,426.0,426.0,426.0,0.0,426.0,426.0,426.0,426.0,1,,Surface,2.0,,,Image 1,,33.0,,
ABal,Intensity Max,1202.0,1202.0,1202.0,0.0,1202.0,1202.0,1202.0,1202.0,1,,Surface,2.0,,,Image 1,,34.0,,
ABal,Intensity Max,2486.0,2486.0,2486.0,0.0,2486.0,2486.0,2486.0,2486.0,1,,Surface,2.0,,,Image 1,,35.0,,
ABal,Intensity Max,2427.0,2427.0,2427.0,0.0,2427.0,2427.0,2427.0,2427.0,1,,Surface,2.0,,,Image 1,,36.0,,
ABal,Intensity Max,2809.0,2809.0,2809.0,0.0,2809.0,2809.0,2809.0,2809.0,1,,Surface,2.0,,,Image 1,,37.0,,
ABal,Intensity Max,2709.0,2709.0,2709.0,0.0,2709.0,2709.0,2709.0,2709.0,1,,Surface,2.0,,,Image 1,,38.0,,
ABal,Intensity Max,2633.0,2633.0,2633.0,0.0,2633.0,2633.0,2633.0,2633.0,1,,Surface,2.0,,,Image 1,,39.0,,
ABal,Intensity Max,1791.0,1791.0,1791.0,0.0,1791.0,1791.0,1791.0,1791.0,1,,Surface,2.0,,,Image 1,,40.0,,
ABal,Intensity Max,1082.0,1082.0,1082.0,0.0,1082.0,1082.0,1082.0,1082.0,1,,Surface,2.0,,,Image 1,,41.0,,
ABal,Intensity Max,341.0,341.0,341.0,0.0,341.0,341.0,341.0,341.0,1,,Surface,2.0,,,Image 1,,42.0,,
ABal,Intensity Max,324.0,324.0,324.0,0.0,324.0,324.0,324.0,324.0,1,,Surface,2.0,,,Image 1,,43.0,,
ABal,Intensity Max,273.0,273.0,273.0,0.0,273.0,273.0,273.0,273.0,1,,Surface,2.0,,,Image 1,,44.0,,
ABal,Intensity Max,312.0,312.0,312.0,0.0,312.0,312.0,312.0,312.0,1,,Surface,2.0,,,Image 1,,45.0,,
ABal,Intensity Max,230.0,230.0,230.0,0.0,230.0,230.0,230.0,230.0,1,,Surface,2.0,,,Image 1,,46.0,,
ABpl,Intensity Max,267.0,267.0,267.0,0.0,267.0,267.0,267.0,267.0,1,,Surface,2.0,,,Image 1,,29.0,,
ABpl,Intensity Max,481.0,481.0,481.0,0.0,481.0,481.0,481.0,481.0,1,,Surface,2.0,,,Image 1,,30.0,,
ABpl,Intensity Max,782.0,782.0,782.0,0.0,782.0,782.0,782.0,782.0,1,,Surface,2.0,,,Image 1,,31.0,,
ABpl,Intensity Max,837.0,837.0,837.0,0.0,837.0,837.0,837.0,837.0,1,,Surface,2.0,,,Image 1,,32.0,,
ABpl,Intensity Max,1334.0,1334.0,1334.0,0.0,1334.0,1334.0,1334.0,1334.0,1,,Surface,2.0,,,Image 1,,33.0,,
ABpl,Intensity Max,2496.0,2496.0,2496.0,0.0,2496.0,2496.0,2496.0,2496.0,1,,Surface,2.0,,,Image 1,,34.0,,
ABpl,Intensity Max,2835.0,2835.0,2835.0,0.0,2835.0,2835.0,2835.0,2835.0,1,,Surface,2.0,,,Image 1,,35.0,,
ABpl,Intensity Max,4066.0,4066.0,4066.0,0.0,4066.0,4066.0,4066.0,4066.0,1,,Surface,2.0,,,Image 1,,36.0,,
ABpl,Intensity Max,4721.0,4721.0,4721.0,0.0,4721.0,4721.0,4721.0,4721.0,1,,Surface,2.0,,,Image 1,,37.0,,
ABpl,Intensity Max,4681.0,4681.0,4681.0,0.0,4681.0,4681.0,4681.0,4681.0,1,,Surface,2.0,,,Image 1,,38.0,,
ABpl,Intensity Max,3910.0,3910.0,3910.0,0.0,3910.0,3910.0,3910.0,3910.0,1,,Surface,2.0,,,Image 1,,39.0,,
ABpl,Intensity Max,2778.0,2778.0,2778.0,0.0,2778.0,2778.0,2778.0,2778.0,1,,Surface,2.0,,,Image 1,,40.0,,
ABpl,Intensity Max,1208.0,1208.0,1208.0,0.0,1208.0,1208.0,1208.0,1208.0,1,,Surface,2.0,,,Image 1,,41.0,,
ABpl,Intensity Max,540.0,540.0,540.0,0.0,540.0,540.0,540.0,540.0,1,,Surface,2.0,,,Image 1,,42.0,,
ABpl,Intensity Max,360.0,360.0,360.0,0.0,360.0,360.0,360.0,360.0,1,,Surface,2.0,,,Image 1,,43.0,,
ABpl,Intensity Max,358.0,358.0,358.0,0.0,358.0,358.0,358.0,358.0,1,,Surface,2.0,,,Image 1,,44.0,,
ABpl,Intensity Max,341.0,341.0,341.0,0.0,341.0,341.0,341.0,341.0,1,,Surface,2.0,,,Image 1,,45.0,,
ABpl,Intensity Max,266.0,266.0,266.0,0.0,266.0,266.0,266.0,266.0,1,,Surface,2.0,,,Image 1,,46.0,,
MS,Intensity Max,376.0,376.0,376.0,0.0,376.0,376.0,376.0,376.0,1,,Surface,2.0,,,Image 1,,34.0,,
MS,Intensity Max,817.0,817.0,817.0,0.0,817.0,817.0,817.0,817.0,1,,Surface,2.0,,,Image 1,,35.0,,
MS,Intensity Max,1758.0,1758.0,1758.0,0.0,1758.0,1758.0,1758.0,1758.0,1,,Surface,2.0,,,Image 1,,36.0,,
MS,Intensity Max,1152.0,1152.0,1152.0,0.0,1152.0,1152.0,1152.0,2304.0,2,,Surface,2.0,,,Image 1,,37.0,,
MS,Intensity Max,1048.0,1048.0,1048.0,0.0,1048.0,1048.0,1048.0,2096.0,2,,Surface,2.0,,,Image 1,,38.0,,
MS,Intensity Max,1266.0,1266.0,1266.0,0.0,1266.0,1266.0,1266.0,2532.0,2,,Surface,2.0,,,Image 1,,39.0,,
MS,Intensity Max,2397.0,2397.0,2397.0,0.0,2397.0,2397.0,2397.0,4794.0,2,,Surface,2.0,,,Image 1,,40.0,,
MS,Intensity Max,3164.0,3164.0,3164.0,0.0,3164.0,3164.0,3164.0,6328.0,2,,Surface,2.0,,,Image 1,,41.0,,
MS,Intensity Max,2760.0,2760.0,2760.0,0.0,2760.0,2760.0,2760.0,5520.0,2,,Surface,2.0,,,Image 1,,42.0,,
MS,Intensity Max,3196.0,3196.0,3196.0,0.0,3196.0,3196.0,3196.0,6392.0,2,,Surface,2.0,,,Image 1,,43.0,,
MS,Intensity Max,3825.0,3825.0,3825.0,0.0,3825.0,3825.0,3825.0,7650.0,2,,Surface,2.0,,,Image 1,,44.0,,
MS,Intensity Max,4020.0,4020.0,4020.0,0.0,4020.0,4020.0,4020.0,8040.0,2,,Surface,2.0,,,Image 1,,45.0,,
MS,Intensity Max,4230.0,4230.0,4230.0,0.0,4230.0,4230.0,4230.0,4230.0,1,,Surface,2.0,,,Image 1,,46.0,,
MS,Intensity Max,2927.0,2927.0,2927.0,0.0,2927.0,2927.0,2927.0,2927.0,1,,Surface,2.0,,,Image 1,,47.0,,
